Date,Close
1999-01-04,3857.41
1999-01-05,3918.1400000000003
1999-01-06,4020.99
1999-01-07,4023.65
1999-01-08,4050.73
1999-01-11,4081.6000000000004
1999-01-12,3987.6200000000003
1999-01-13,3976.07
1999-01-14,3909.11
1999-01-15,4018.51
1999-01-19,4091.06
1999-01-20,4102.73
1999-01-21,4003.9300000000003
1999-01-22,3986.51
1999-01-25,4025.4
1999-01-26,4111.05
1999-01-27,4071.43
1999-01-28,4166.68
1999-01-29,4212.75
1999-02-01,4209.17
1999-02-02,4147.139999999999
1999-02-03,4189.219999999999
1999-02-04,4076.3500000000004
1999-02-05,4025.74
1999-02-08,4060.02
1999-02-09,3930.0600000000004
1999-02-10,3931.01
1999-02-11,4065.75
1999-02-12,3950.46
1999-02-16,3952.14
1999-02-17,3862.4799999999996
1999-02-18,3888.92
1999-02-19,3915.12
1999-02-22,4011.9700000000007
1999-02-23,4046.54
1999-02-24,3988.05
1999-02-25,3964.53
1999-02-26,3918.62
1999-03-01,3925.73
1999-03-02,3878.96
1999-03-03,3884.8499999999995
1999-03-04,3933.5499999999997
1999-03-05,4010.59
1999-03-08,4080.41
1999-03-09,4071.9799999999996
1999-03-10,4093.96
1999-03-11,4111.01
1999-03-12,4074.5
1999-03-15,4139.54
1999-03-16,4144.82
1999-03-17,4125.22
1999-03-18,4179.06
1999-03-19,4117.14
1999-03-22,4086.1499999999996
1999-03-23,3968.3500000000004
1999-03-24,4018.27
1999-03-25,4117.78
1999-03-26,4095.8900000000003
1999-03-29,4202.77
1999-03-30,4179.82
1999-03-31,4145.4
1999-04-01,4185.83
1999-04-05,4283.47
1999-04-06,4282.14
1999-04-07,4269.09
1999-04-08,4317.26
1999-04-09,4347.26
1999-04-12,4369.76
1999-04-13,4350.5599999999995
1999-04-14,4253.110000000001
1999-04-15,4262.389999999999
1999-04-16,4224.62
1999-04-19,4047.5
1999-04-20,4131.15
1999-04-21,4251.7699999999995
1999-04-22,4349.280000000001
1999-04-23,4379.27
1999-04-26,4447.06
1999-04-27,4400.37
1999-04-28,4334.8099999999995
1999-04-29,4304.12
1999-04-30,4310.85
1999-05-03,4323.49
1999-05-04,4249.71
1999-05-05,4316.03
1999-05-06,4237.71
1999-05-07,4284.73
1999-05-10,4308.54
1999-05-11,4369.1
1999-05-12,4419.8
1999-05-13,4400.4
1999-05-14,4308.79
1999-05-17,4342.68
1999-05-18,4334.13
1999-05-19,4367.77
1999-05-20,4329.08
1999-05-21,4299.57
1999-05-24,4200.7
1999-05-25,4099.75
1999-05-26,4167.349999999999
1999-05-27,4133.4800000000005
1999-05-28,4211.04
